"","logFC","logCPM","LR","PValue","FDR"
"Bra033098",-12.1531054093593,6.07082272502805,998.828724760824,3.22744658918229e-219,7.75684513244072e-215
"Bra023495",-11.8891705687041,5.79229844293516,974.507500127415,6.2443611258076e-214,7.503848764883e-210
"Bra016271",-14.2506917620718,8.14446679028161,891.367787364812,7.38533212772535e-196,5.91663574525837e-192
"Bra020631",-11.3183146708821,5.20685835441217,870.772193098965,2.21672201349547e-191,1.33191742180875e-187
"Bra011216",-11.2587700752102,5.13364961921024,853.851902303063,1.0571993096116e-187,5.08174564144105e-184
"Bra020643",-14.383988091747,8.28073646171428,841.055168857348,6.40034775179908e-185,2.56376596444565e-181
"Bra009785",7.95094563045341,6.01850263717195,786.82994648179,3.94001098489642e-173,1.35277462872858e-169
"Bra011765",-7.31994723869267,6.34155306170981,749.444251255922,5.29957959968755e-165,1.59212620123613e-161
"Bra026924",-8.33401295891539,5.02825962292018,729.989438303722,9.00526324830423e-161,2.40480552121938e-157
"Bra029392",8.33906446069297,6.29647600831539,723.140982166537,2.77754416319174e-159,6.67554964181502e-156
"Bra032700",7.91866679470369,5.20177591124687,705.998349933627,1.48364988681734e-155,3.24164012543344e-152
"Bra014936",7.12184215774266,6.41335617655496,694.312613482456,5.15787593839788e-153,1.03303658586212e-149
"Bra009821",8.41857682290613,5.90062912485512,686.546687386509,2.51916017448175e-151,4.65734581796111e-148
"Bra013702",-9.30084965589696,4.96540669033689,650.058424185824,2.16972684099292e-143,3.72480106403027e-140
"Bra032339",8.27888014925795,4.7145789868853,615.585474535153,6.82190800697815e-136,1.09305158026475e-132
"Bra033316",8.72566730402342,4.70169854309324,611.230204627255,6.04195511280752e-135,9.07577182382599e-132
"Bra019678",7.9111888875838,5.8401002553727,592.953759687955,5.70725604682638e-131,8.06871716643677e-128
"Bra031678",-10.6001150883416,4.48319612349907,591.206878822879,1.3689772948681e-130,1.82788890582555e-127
"Bra017778",-10.2887069812706,4.19429347410442,590.225801347951,2.23765920999091e-130,2.83052112910114e-127
"Bra017888",-7.39295764268385,4.70351601214081,588.057245531397,6.62958677604758e-130,7.96677442877637e-127
"Bra040221",5.23183796889188,5.27974747595262,580.614358856118,2.75705414633776e-128,3.15538282633723e-125
"Bra035069",-10.3091165624625,4.21486796242607,568.995096411393,9.28775087863132e-126,1.01464456644102e-122
"Bra025126",-6.41084006268654,5.25096318480668,568.740714615234,1.05498340190932e-125,1.10241178615168e-122
"Bra012631",4.7283006560594,5.93756405251786,567.832177613467,1.66294497458116e-125,1.66530081329515e-122
"Bra009466",-10.4321882843679,4.32334117857951,567.032743600716,2.48186200720734e-125,2.38596285924885e-122
"Bra017698",-6.17163416485807,4.58171002806343,556.605283266922,4.60349903988323e-123,4.25540368940591e-120
"Bra035136",5.74284741205026,6.43302625609862,551.133063016191,7.13679689553414e-122,6.35280654026917e-119
"Bra033829",-10.3462387940449,4.2619556481482,549.090762132937,1.98511924164319e-121,1.70394128048759e-118
"Bra022071",8.09133225765901,4.53299917198563,544.37543686342,2.10655348591967e-120,1.74582436139977e-117
"Bra100355",-10.4453934530739,4.27113856755333,543.271274237985,3.66250006257404e-120,2.93415088346348e-117
"Bra008191",8.51043324167619,4.95631390950951,534.746660773061,2.61996589640637e-118,2.03123420497519e-115
"Bra026843",-4.65670163417763,6.11067186266011,531.740001386578,1.18141710167124e-117,8.87318081923952e-115
"Bra001707",-7.68280964198024,4.67738943731073,522.836993299951,1.02169114581665e-115,7.44100757532042e-113
"Bra021340",6.95783885609603,4.63862370665507,513.708003634147,9.89611915061123e-114,6.9953919901703e-111
"Bra026944",-6.61904648114369,4.52908263120963,509.722143781728,7.28900509510194e-113,5.00525567016229e-110
"Bra005748",8.21565340573994,4.65948982362213,495.044290041853,1.13826505979228e-109,7.5991840130688e-107
