"","logFC","logCPM","LR","PValue","FDR"
"Bra028803",-5.0434558765776,3.51422201705968,132.198543737752,1.35379358451196e-30,3.25370750101605e-26
"Bra019324",4.80973558463066,2.20912475004661,76.4363655353247,2.27424489310945e-18,2.73296008804963e-14
"Bra034565",4.08128703562708,2.15929878254374,68.9341420466948,1.01806994901069e-16,8.15609771817432e-13
"Bra025587",4.19091941804882,3.29871295233645,55.04401444662,1.17860699522976e-13,7.08166013083802e-10
"Bra029946",2.28084439738963,5.36446467945061,47.8017330349638,4.71574999470122e-12,1.89867541975287e-08
"Bra026156",1.76467213864949,6.46779743088994,47.5065308492246,5.48210024429574e-12,1.89867541975287e-08
"Bra030161",2.8467916344447,5.10562164186753,47.4894880165447,5.52996918460103e-12,1.89867541975287e-08
"Bra037739",2.0414822915966,4.53995750367965,47.0944117423745,6.76482896037677e-12,2.03232374042119e-08
"Bra016050",5.11923173555674,1.7553341302836,46.0118389161523,1.17540533622479e-11,3.13885465009184e-08
"Bra029042",3.49655235087382,1.24065619666473,45.5989664380581,1.45118133906556e-11,3.48776923031016e-08
"Bra035094",2.17140848114575,2.9855297872905,44.8233063709185,2.15640642997446e-11,4.71155201254601e-08
"Bra001781",2.30678569488527,3.13860459244106,44.1466259227121,3.04676512236956e-11,6.10216274591916e-08
"Bra026919",1.17695784475597,4.93312207002961,43.9039780840146,3.44887180822203e-11,6.37616807990833e-08
"Bra013011",3.23828817523143,3.75607221855459,43.0265955612949,5.40007663624317e-11,9.2703887053906e-08
"Bra026157",1.25758315849672,4.79163128046671,42.8221159750431,5.99505471119058e-11,9.60567632858363e-08
"Bra031058",3.24072862915492,2.75797668873858,42.5732217976977,6.80851343898346e-11,1.0227238249533e-07
"Bra018543",1.83854134198188,6.99767053632766,41.2467823734749,1.34172528477775e-10,1.89688385260873e-07
"Bra014975",-1.87117481734311,5.06049490348268,41.1060237613442,1.44191258191975e-10,1.92527372188107e-07
"Bra033696",2.81963671354724,5.84431766872077,40.3015845232386,2.17632395780852e-10,2.75293526326157e-07
"Bra028635",1.37845099247833,4.04918846909882,39.0849925174763,4.05751018514605e-10,4.87590998949001e-07
"Bra008510",1.73000532121208,5.78906228771786,38.8587708704535,4.55602237350919e-10,5.21425912975809e-07
"Bra039212",2.45711537254949,3.36277321167865,37.0976933436084,1.12356553513069e-09,1.22744427596959e-06
"Bra035671",1.80514857632457,4.91382729381427,36.6178717939851,1.43708117945875e-09,1.4629146542939e-06
"Bra029201",2.15688649770049,4.158994678556,36.5534181113929,1.48539267113551e-09,1.4629146542939e-06
"Bra007198",1.25564123042771,3.8439260867362,36.5063287894542,1.5217136705229e-09,1.4629146542939e-06
"Bra024638",2.01991167344707,2.3908516291671,36.0079094320115,1.96518208180349e-09,1.81658408284866e-06
"Bra033664",1.63669496024136,5.22922226111989,35.6972407332853,2.30490240597354e-09,2.05170460833956e-06
"Bra013434",3.75945150046072,1.37822261141394,35.5678427926837,2.46320428576397e-09,2.11430899300183e-06
"Bra008716",-3.98896682268884,0.75490700178448,35.491984076882,2.56102331843436e-09,2.1224701529397e-06
"Bra022814",1.92351353586784,4.62772092145646,34.8852399779826,3.49722030932778e-09,2.8017397638128e-06
"Bra021887",1.45101562603037,3.83052337803481,34.4401020367013,4.39572477967487e-09,3.40796288240987e-06
"Bra000651",4.30057577769296,0.618178231794906,34.231515729568,4.89300917073253e-09,3.6749557002933e-06
"Bra027953",2.56749775065143,3.86976214220544,34.1636614005833,5.0666292621983e-09,3.69004144508103e-06
"Bra015699",1.56297277549533,3.5053431262581,33.7093686124787,6.39917567960199e-09,4.52346436128101e-06
"Bra031989",1.91344580344672,2.11504199497299,33.4342796842653,7.37131902276224e-09,4.87564959886904e-06
